Designator,Mid X,Mid Y,Rotation,Layer
D1,159.81566,-98.30066,45.0,top
D10,178.31566,-102.92566,45.0,top
D11,159.81566,-107.55066,45.0,top
D12,164.44066,-107.55066,45.0,top
D13,169.06566,-107.55066,45.0,top
D14,173.69066,-107.55066,45.0,top
D15,178.31566,-107.55066,45.0,top
D16,247.69066,-98.30066,135.0,top
D17,247.69066,-102.92566,135.0,top
D18,247.69066,-107.55066,135.0,top
D19,243.06566,-98.30066,135.0,top
D2,164.565534,-98.602132,45.0,top
D20,243.06566,-102.92566,135.0,top
D21,243.06566,-107.55066,135.0,top
D22,238.44066,-98.30066,135.0,top
D23,238.44066,-102.92566,135.0,top
D24,238.44066,-107.55066,135.0,top
D25,247.69066,-112.17566,135.0,top
D26,233.81566,-98.30066,135.0,top
D27,233.81566,-102.92566,135.0,top
D28,233.81566,-107.55066,135.0,top
D29,243.06566,-112.17566,135.0,top
D3,169.190534,-98.602132,45.0,top
D30,229.19066,-98.30066,135.0,top
D31,159.81566,-112.17566,45.0,top
D32,164.44066,-112.17566,45.0,top
D33,169.06566,-112.17566,45.0,top
D34,229.19066,-102.92566,135.0,top
D35,229.19066,-107.55066,135.0,top
D36,238.44066,-112.17566,135.0,top
D37,182.94066,-98.30066,45.0,top
D38,224.56566,-98.30066,135.0,top
D4,173.815534,-98.602132,45.0,top
D5,178.440534,-98.602132,45.0,top
D6,159.81566,-102.92566,45.0,top
D7,164.44066,-102.92566,45.0,top
D8,169.06566,-102.92566,45.0,top
D9,173.69066,-102.92566,45.0,top
S1,64.36566,-99.90066,0.0,top
S10,140.56566,-109.97566,0.0,top
S11,64.36566,-138.00066,0.0,top
S12,83.41566,-129.02566,0.0,top
S13,102.46566,-124.67566,0.0,top
S14,121.51566,-129.02566,0.0,top
S15,140.56566,-129.02566,0.0,top
S16,265.99066,-90.92566,0.0,top
S17,265.99066,-109.97566,0.0,top
S18,265.99066,-129.02566,0.0,top
S19,285.04066,-90.92566,0.0,top
S2,83.41566,-90.92566,0.0,top
S20,285.04066,-109.97566,0.0,top
S21,285.04066,-129.02566,0.0,top
S22,304.09066,-86.57566,0.0,top
S23,304.09066,-105.62566,0.0,top
S24,304.09066,-124.67566,0.0,top
S25,223.81566,-152.70066,0.0,top
S26,323.14066,-91.10566,0.0,top
S27,323.14066,-110.15566,0.0,top
S28,323.14066,-129.20566,0.0,top
S29,242.86566,-157.32566,0.0,top
S3,102.46566,-86.57566,0.0,top
S30,342.41566,-99.90066,0.0,top
S31,144.64066,-148.07566,0.0,top
S32,163.69066,-157.32566,0.0,top
S33,182.74066,-152.70066,0.0,top
S34,342.41566,-118.95066,0.0,top
S35,342.41566,-138.00066,0.0,top
S36,261.91566,-148.07566,0.0,top
S4,121.51566,-90.92566,0.0,top
S5,140.56566,-90.92566,0.0,top
S6,64.36566,-118.95066,0.0,top
S7,83.41566,-109.97566,0.0,top
S8,102.46566,-105.62566,0.0,top
S9,121.51566,-109.97566,0.0,top
SW1,168.31566,-86.57566,180.0,top
SW2,238.24066,-86.57566,180.0,top
SW4,218.72132,-83.26632,0.0,top
